Manager	Company
Archie W. Dunham	Phelps Dodge
Archie W. Dunham	Union Pacific
Armando M. Codina	AMR
Armando M. Codina	BellSouth
Armando M. Codina	General Motors
Arnold G. Langbo	Johnson & Johnson
Arnold G. Langbo	Weyerhaeuser
Arnold G. Langbo	Whirlpool
Arthur C. Martinez	Liz Claiborne
Arthur C. Martinez	PepsiCo
Arthur D. Collins, Jr.	Medtronic
Arthur D. Collins, Jr.	U.S. Bancorp
Arthur F. Weinbach	Automatic Data Proc.
Arthur F. Weinbach	First Data
Arthur F. Weinbach	Schering-Plough
August A. Busch III	Anheuser-Busch
August A. Busch III	Emerson Electric
August A. Busch III	SBC Communications
Aulana L. Peters	3M
Aulana L. Peters	Deere
Aulana L. Peters	Merrill Lynch
Aulana L. Peters	Northrop Grumman
Aylwin B. Lewis	Halliburton
Aylwin B. Lewis	Walt Disney
B. Charles Ames	Lexmark International
B. Charles Ames	Progressive
Barbara Hackman Franklin	Aetna
Barbara Hackman Franklin	Dow Chemical
Barbara L. Bowles	Black & Decker
Barbara L. Bowles	Dollar General
Barbara L. Bowles	Georgia-Pacific
Barbara L. Bowles	Wisconsin Energy
Barbara S. Feigin	Circuit City Stores
Barbara S. Feigin	VF
Barbara T. Alexander	Burlington Resources
Barbara T. Alexander	Centex
Barbara T. Alexander	Harrahs Entertainment
Barry Diller	Coca-Cola
Barry Diller	InterActiveCorp
Barry L. Williams	Northwestern Mutual
Barry L. Williams	PG&E Corp.
Barry L. Williams	SLM
Barry Munitz	KB Home
Barry Munitz	SLM
Barry W. Perry	Arrow Electronics
Barry W. Perry	Engelhard
Basil L. Anderson	Becton Dickinson
Basil L. Anderson	Staples
Benjamin F. Bailar	Dana
Benjamin F. Bailar	Smith International
Benjamin F. Montoya	Jacobs Engineering Group
Benjamin F. Montoya	Wells Fargo
Benjamin J. Lambert, III	Dominion Resources
Benjamin J. Lambert, III	SLM
Bernadine P. Healy, M.D.	National City Corp.
Bernadine P. Healy, M.D.	Progressive
Bernard G. Rethore	Dover
Bernard G. Rethore	Maytag
Beth M. Pritchard	Borders Group
Beth M. Pritchard	Ecolab
Betsy Bernard	Principal Financial
Betsy Bernard	United Technologies
Betty C. Alewine	New York Life Insurance
Betty C. Alewine	Pittston
Betty C. Alewine	Rockwell Automation
Blythe J. McGarvie	Pepsi Bottling
Blythe J. McGarvie	St. Paul Travelers
Bob L. Martin	Dillards
Bob L. Martin	Gap
Bobby R. Inman	Fluor
Bobby R. Inman	SBC Communications
Bobby R. Inman	Temple-Inland
Bobby S. Shackouls	Burlington Resources
Bobby S. Shackouls	Kroger
Bonnie Hill	Albertsons
Bonnie Hill	Hershey Foods
Bonnie Hill	Home Depot
Bonnie Hill	Yum Brands
Brenda C. Barnes	Avon Products
Brenda C. Barnes	New York Times
Brenda C. Barnes	PepsiAmericas
Brenda C. Barnes	Sears Roebuck
Brenda C. Barnes	Staples
Brian L. Roberts	Bank of New York Co.
Brian L. Roberts	Comcast
Bruce Karatz	Avery Dennison
Bruce Karatz	Edison International
Bruce Karatz	Honeywell Intl.
Bruce Karatz	KB Home
Bruce S. Gordon	Office Depot
Bruce S. Gordon	Southern
C. Michael Armstrong	Citigroup
C. Michael Armstrong	Comcast
C. Robert Kidder	Electronic Data Systems
C. Robert Kidder	Morgan Stanley
C. Steven McMillan	Bank of America Corp.
C. Steven McMillan	Sara Lee
Calvin Darden	Coca-Cola Enterprises
Calvin Darden	Target
Calvin Darden	United Parcel Service
Carl E. Mundy, Jr.	General Dynamics
Carl E. Mundy, Jr.	Schering-Plough
Carl E. Reichardt	ConAgra Foods
Carl E. Reichardt	Ford Motor
Carl E. Reichardt	PG&E Corp.
Carla Anderson Hills	American Intl. Group
Carla Anderson Hills	ChevronTexaco
Carla Anderson Hills	Lucent Technologies
Carla Anderson Hills	Time Warner Inc.
Carlos A. Saladrigas	Advance Auto Parts
Carlos A. Saladrigas	Progress Energy
Carlos Ghosn	Alcoa
Carlos Ghosn	Intl. Business Machines
Carolyn H. Byrd	Circuit City Stores
Carolyn H. Byrd	St. Paul Travelers
Carolyn M. Ticknor	AT&T Wireless Services
Carolyn M. Ticknor	Boise Cascade
Carolyn Y. Woo	Aon
Carolyn Y. Woo	Circuit City Stores
Carolyn Y. Woo	NiSource
Cary D. McMillan	McDonalds
Cary D. McMillan	Sara Lee
Catherine A. Rein	Bank of New York Co.
Catherine A. Rein	FirstEnergy
Cathleen Black	Coca-Cola
Cathleen Black	Intl. Business Machines
Charlene Barshefsky	Estée Lauder
Charlene Barshefsky	Starwood Hotels & Restaurants
Charles A. Davis	Marsh & McLennan
Charles A. Davis	Progressive
Charles E. Bunch	H.J. Heinz
Charles E. Bunch	PPG Industries
Charles E. Rice	CSX
Charles E. Rice	Sprint
Charles F. Knight	Anheuser-Busch
Charles F. Knight	Emerson Electric
Charles F. Knight	Intl. Business Machines
Charles F. Knight	Morgan Stanley
Charles F. Knight	SBC Communications
Charles H. Noski	Microsoft
Charles H. Noski	Northrop Grumman
Charles M. Lillis	Charter Communications
Charles M. Lillis	Supervalu
Charles M. Lillis	Williams Companies, Inc.
Charles M. Vest	DuPont
Charles M. Vest	Intl. Business Machines
Charles O. Holliday, Jr.	DuPont
Charles O. Holliday, Jr.	HCA
Charles R. Lee	Marathon Oil
Charles R. Lee	Procter & Gamble
Charles R. Lee	United States Steel
Charles R. Lee	United Technologies
Charles R. Lee	Verizon Communications
Charles R. Schwab	Charles Schwab
Charles R. Schwab	Gap
Charles R. Shoemate	ChevronTexaco
Charles R. Shoemate	Cigna
Charles R. Shoemate	International Paper
Charles T. Munger	Berkshire Hathaway
Charles T. Munger	Costco Wholesale
Charles W. Coker	Bank of America Corp.
Charles W. Coker	Progress Energy
Charles W. Coker	Sara Lee
Christina A. Gold	ITT Industries
Christina A. Gold	New York Life Insurance
Christine Todd Whitman	Texas Instruments
Christine Todd Whitman	United Technologies
Christopher A. Sinclair	Foot Locker
Christopher A. Sinclair	Mattel
Christopher M. Connor	National City Corp.
Christopher M. Connor	Sherwin-Williams
Claiborne P. Deming	Entergy
Claiborne P. Deming	Murphy Oil
Claire W. Gargalli	Baker Hughes
Claire W. Gargalli	Praxair
Clarence Otis, Jr.	St. Paul Travelers
Clarence Otis, Jr.	VF
Clarence P. Cazalot, Jr.	Baker Hughes
Clarence P. Cazalot, Jr.	Marathon Oil
Claudine B. Malone	Lowes
Claudine B. Malone	Science Applications Intl.
Claudio González	General Electric
Claudio González	Home Depot
Claudio González	Kellogg
Claudio González	Kimberly-Clark
Colin G. Campbell	Pitney Bowes
Colin G. Campbell	Sysco
Conrad K. Harper	New York Life Insurance
Conrad K. Harper	Public Service Enterprise Group
Constance J. Horner	Pfizer
Constance J. Horner	Prudential Financial
Cordell Reed	Walgreen
Cordell Reed	Washington Group International
Craig E. Weatherup	Federated Dept. Stores
Craig E. Weatherup	Pepsi Bottling
Craig E. Weatherup	Starbucks
Craig R. Barrett	Intel
Craig R. Barrett	Qwest Communications
Curtis J. Crawford	DuPont
Curtis J. Crawford	ITT Industries
Cynthia A. Montgomery	Newell Rubbermaid
Cynthia A. Montgomery	UnumProvident
Cyrus F. Freidheim Jr.	Allegheny Energy
Cyrus F. Freidheim Jr.	Household International
Dan C. Stanzione	Avaya
Dan C. Stanzione	Quest Diagnostics
Daniel A. Carp	Eastman Kodak
Daniel A. Carp	Texas Instruments
Daniel F. Akerson	American Express
Daniel F. Akerson	Time Warner Inc.
Daniel H. Mudd	Fannie Mae
Daniel H. Mudd	Ryder System
Daniel P. Amos	AFLAC
Daniel P. Amos	Southern
Daniel P. Burnham	First Data
Daniel P. Burnham	FleetBoston Financial
Daniel S. Goldin	CDW Computer Centers
Daniel S. Goldin	Lucent Technologies
Dave Bing	Cardinal Health
Dave Bing	DTE Energy
David A. Daberko	Marathon Oil
David A. Daberko	National City Corp.
David A. Jones	Humana
David A. Jones	Tyson Foods
David B. Yoffie	Charles Schwab
David B. Yoffie	Intel
David C. Novak	Bank One Corp.
David C. Novak	Yum Brands
David H. Batchelder	ConAgra Foods
David H. Batchelder	Washington Group International
David Hughes	Darden Restaurants
David Hughes	Hughes Supply
David Hughes	SunTrust Banks
David I. Fuente	Office Depot
David I. Fuente	Ryder System
David J. Lesar	Halliburton
David J. Lesar	Lyondell Chemical
David J. Lesar	Mirant
David K. Newbigging	Merrill Lynch
David K. Newbigging	Paccar
David L. Boren	AMR
David L. Boren	ConocoPhillips
David L. Boren	Texas Instruments
David L. Burner	Engelhard
David L. Burner	Progress Energy
David M. Lawrence, MD	Agilent Technologies
David M. Lawrence, MD	PG&E Corp.
David M. McClanahan	CenterPoint Energy
David M. McClanahan	CenterPoint Energy
David M. Ratcliffe	CSX
David M. Ratcliffe	Southern
David N. Farr	Delphi
David N. Farr	Emerson Electric
David R. Goode	Caterpillar
David R. Goode	Delta Air Lines
David R. Goode	Georgia-Pacific
David R. Goode	Norfolk Southern
David R. Goode	Texas Instruments
David R. Whitwam	PPG Industries
David R. Whitwam	Whirlpool
David S. Pottruck	Charles Schwab
David S. Pottruck	Intel
David W. Joos	CMS Energy
David W. Joos	Steelcase
David W. Raisbeck	Cardinal Health
David W. Raisbeck	Eastman Chemical
David Y. Schwartz	Foot Locker
David Y. Schwartz	Walgreen
Dean R. OHare	Fluor
Dean R. OHare	H.J. Heinz
Delano E. Lewis	Colgate-Palmolive
Delano E. Lewis	Eastman Kodak
Dennis E. Foster	Alltel
Dennis E. Foster	NiSource
Dennis F. Hightower	Gillette
Dennis F. Hightower	Northwest Airlines
Dennis F. Hightower	TJX
Dennis H. Reilley	Entergy
Dennis H. Reilley	Marathon Oil
Dennis H. Reilley	Praxair
Dennis W. Sullivan	KeyCorp
Dennis W. Sullivan	Parker Hannifin
Deval L. Patrick	Coca-Cola Enterprises
Deval L. Patrick	Reebok International
Dipak C. Jain	Deere
Dipak C. Jain	UAL
Don H. Davis, Jr.	Illinois Tool Works
Don H. Davis, Jr.	Rockwell Automation
Dona Davis Young	Foot Locker
Dona Davis Young	Wachovia Corp.
Donald B. Rice	Amgen
Donald B. Rice	Unocal
Donald B. Rice	Wells Fargo
Donald B. Shackelford	Limited Brands
Donald B. Shackelford	Progressive
Donald F. McHenry	AT&T
Donald F. McHenry	Coca-Cola
Donald F. McHenry	FleetBoston Financial
Donald F. McHenry	International Paper
Donald G. Fisher	Charles Schwab
Donald G. Fisher	Gap
Donald Guinn	Bank of America Corp.
Donald Guinn	Pacific LifeCorp
Donald J. Carty	Dell Computer
Donald J. Carty	Sears Roebuck
Donald M. Carlton	American Electric Power
Donald M. Carlton	Temple-Inland
Donald M. James	Southern
Donald M. James	SouthTrust Corporation
Donald M. Roberts	Burlington Resources
Donald M. Roberts	York International
Donald M. Stewart	Campbell Soup
Donald M. Stewart	New York Times
Donald V. Fites	AK Steel Holding
Donald V. Fites	AT&T Wireless Services
Donald V. Fites	Exxon Mobil
Donald V. Fites	Georgia-Pacific
Donna E. Shalala, Ph.D.	Gannett
Donna E. Shalala, Ph.D.	Lennar
Donna E. Shalala, Ph.D.	UnitedHealth Group
Dorothy A. Terrell	General Mills
Dorothy A. Terrell	Sears Roebuck
Dorrit J. Bern	Brunswick
Dorrit J. Bern	Southern
Douglas A. Warner III	Anheuser-Busch
Douglas A. Warner III	General Electric
Douglas A. Warner III	Motorola
Douglas C. Yearley	Lockheed Martin
Douglas C. Yearley	Marathon Oil
Douglas C. Yearley	United States Steel
Douglas H. McCorkindale	Continental Airlines
Douglas H. McCorkindale	Gannett
Douglas H. McCorkindale	Lockheed Martin
Douglas N. Daft	Coca-Cola
Douglas N. Daft	McGraw-Hill
Douglas N. Daft	SunTrust Banks
Douglas W. Leatherdale	UnitedHealth Group
Douglas W. Leatherdale	Xcel Energy
Dr. Carol A. Cartwright	FirstEnergy
Dr. Carol A. Cartwright	KeyCorp
Dr. Dale R. Laurance	Ingram Micro
Dr. Dale R. Laurance	Jacobs Engineering Group
Dr. Dale R. Laurance	Occidental Petroleum
Dr. E. Linn Draper, Jr.	American Electric Power
Dr. E. Linn Draper, Jr.	Sprint
Dr. Elizabeth E. Bailey	Altria Group
Dr. Elizabeth E. Bailey	CSX
Dr. John A. White	Eastman Chemical
Dr. John A. White	Motorola
Dr. Judith Rodin	Aetna
Dr. Judith Rodin	AMR
Dr. Judith Rodin	Comcast
Dr. Judith Rodin	Electronic Data Systems
Dr. Michael J. Boskin	Exxon Mobil
Dr. Michael J. Boskin	Oracle
Dr. Pastora San Juan Cafferty	Kimberly-Clark
Dr. Pastora San Juan Cafferty	Waste Management
Dr. Ray R. Irani	Lyondell Chemical
Dr. Ray R. Irani	Occidental Petroleum
Dr. Walter E. Massey	Bank of America Corp.
Dr. Walter E. Massey	McDonalds
Dr. Walter E. Massey	Motorola
Duane E. Collins	MeadWestvaco
Duane E. Collins	Parker Hannifin
Duane E. Collins	Sherwin-Williams
Dudley C. Mecum	Citigroup
Dudley C. Mecum	Lyondell Chemical
Dudley S. Taft	Cinergy
Dudley S. Taft	Fifth Third Bancorp
Dudley S. Taft	Tribune
E. Gordon Gee	Dollar General
E. Gordon Gee	Limited Brands
E. Stanley ONeal	General Motors
E. Stanley ONeal	Merrill Lynch
Earl D. Holton	CMS Energy
Earl D. Holton	Steelcase
Earl G. Graves, Sr.	Aetna
Earl G. Graves, Sr.	AMR
Earl G. Graves, Sr.	Federated Dept. Stores
Earl G. Graves, Sr.	Rohm & Haas
Edgar D. Jannotta	Aon
Edgar D. Jannotta	Exelon
Edith E. Holiday	Amerada Hess
Edith E. Holiday	H.J. Heinz
Edmund M. Carpenter	Campbell Soup
Edmund M. Carpenter	Dana
Eduardo R. Menascé	KeyCorp
Eduardo R. Menascé	Pitney Bowes
Edward A. Brennan	3M
Edward A. Brennan	Allstate
Edward A. Brennan	AMR
Edward A. Brennan	Exelon
Edward A. Brennan	McDonalds
Edward B. Rust Jr.	Caterpillar
Edward B. Rust Jr.	State Farm Insurance Cos
Edward D. Miller	American Express
Edward D. Miller	KeySpan
Edward E. Hagenlocker	Air Products
Edward E. Hagenlocker	American Standard
Edward E. Hagenlocker	AmerisourceBergen
Edward E. Hagenlocker	Boise Cascade
Edward E. Hagenlocker	Lucent Technologies
Edward E. Whitacre, Jr.	Anheuser-Busch
Edward E. Whitacre, Jr.	Burlington Northern Santa Fe
Edward E. Whitacre, Jr.	Emerson Electric
Edward E. Whitacre, Jr.	May Dept. Stores
Edward E. Whitacre, Jr.	SBC Communications
Edward F. DeGraan	Becton Dickinson
Edward F. DeGraan	Gillette
Edward J. Kelly, III	CIT Group
Edward J. Kelly, III	Constellation Energy
Edward J. Kelly, III	CSX
Edward J. Kelly, III	Hartford Fin. Services
Edward J. Ludwig	Aetna
Edward J. Ludwig	Becton Dickinson
Edward J. Zore	Manpower
Edward J. Zore	Northwestern Mutual
Edward M. Liddy	3M
Edward M. Liddy	Allstate
Edward M. Liddy	Goldman Sachs Group
Edward M. Liddy	Kroger
Edward P. Djerejian	Baker Hughes
Edward P. Djerejian	Occidental Petroleum
Edward S. Lampert	AutoNation
Edward S. Lampert	AutoZone
Edward S. Lampert	Kmart Holding
Edward T. Fogarty	Avon Products
Edward T. Fogarty	Goodyear Tire & Rubber
Edward V. Fritzky	Amgen
Edward V. Fritzky	Jacobs Engineering Group
Edwin B. Borden	Jefferson-Pilot
Edwin B. Borden	Progress Energy
Elizabeth A. Sanders	Washington Mutual
Elizabeth A. Sanders	WellPoint Health Networks
Elizabeth E. Tallett	Coventry Health Care
Elizabeth E. Tallett	Principal Financial
Elizabeth Valk Long	Jefferson-Pilot
Elizabeth Valk Long	Steelcase
Ellen A. Rudnick	Liberty Mutual Insurance Group
Ellen A. Rudnick	Oxford Health Plans
Ellen M. Hancock	Aetna
Ellen M. Hancock	Colgate-Palmolive
Ellen R. Marram	Eli Lilly
Ellen R. Marram	Ford Motor
Ellen R. Marram	New York Times
Ellen V. Futter	American Intl. Group
Ellen V. Futter	Bristol-Myers Squibb
Ellen V. Futter	Consolidated Edison
Ellen V. Futter	J.P. Morgan Chase
Enrique Hernandez, Jr.	McDonalds
Enrique Hernandez, Jr.	Nordstrom
Enrique Hernandez, Jr.	Tribune
Enrique Hernandez, Jr.	Wells Fargo
Ernesto Zedillo	Alcoa
Ernesto Zedillo	Procter & Gamble
Ernesto Zedillo	Union Pacific
Ernie Green	Eaton
Ernie Green	Pitney Bowes
Eugene A. Renna	Fortune Brands
Eugene A. Renna	Ryder System
Eugene F. Murphy	BellSouth
Eugene F. Murphy	Lockheed Martin
Eugene M. Freedman	Limited Brands
Eugene M. Freedman	Pathmark Stores
Eugene R. McGrath	Consolidated Edison
Eugene R. McGrath	Schering-Plough
F. Duane Ackerman	Allstate
F. Duane Ackerman	BellSouth
F. Warren McFarlan	Computer Sciences
F. Warren McFarlan	Providian Financial
Floretta Dukes McKenzie	Marriott International
Floretta Dukes McKenzie	Pepco Holdings
Francesca Ruiz de Luzuriaga	Boise Cascade
Francesca Ruiz de Luzuriaga	Providian Financial
Frank A. Bennack, Jr.	J.P. Morgan Chase
Frank A. Bennack, Jr.	Wyeth
Frank A. Olson	Amerada Hess
Frank A. Olson	Becton Dickinson
Frank C. Herringer	AT&T
Frank C. Herringer	Charles Schwab
Frank C. Herringer	Unocal
Frank G. Zarb	American Intl. Group
Frank G. Zarb	FPL Group
Frank J. Biondi, Jr.	Amgen
Frank J. Biondi, Jr.	Bank of New York Co.
Frank J. Biondi, Jr.	Harrahs Entertainment
Frank J. Borelli	Express Scripts
Frank J. Borelli	Interpublic Group
Frank P. Popoff	American Express
Frank P. Popoff	Qwest Communications
Frank P. Popoff	United Technologies
Frank S. Royal, M.D.	Dominion Resources
Frank S. Royal, M.D.	HCA
Frank S. Royal, M.D.	Smithfield Foods
Frank S. Royal, M.D.	SunTrust Banks
Frank Savage	Lockheed Martin
Frank Savage	Qualcomm
Frank T. MacInnis	Emcor Group
Frank T. MacInnis	ITT Industries
Frank T. MacInnis	Williams Companies, Inc.
Franklin A. Thomas	Alcoa
Franklin A. Thomas	Citigroup
Franklin A. Thomas	Lucent Technologies
Franklin A. Thomas	PepsiCo
Franklin D. Raines	Fannie Mae
Franklin D. Raines	PepsiCo
Franklin D. Raines	Pfizer
Franklin D. Raines	TIAA-CREF
Franklin D. Raines	Time Warner Inc.
Fred H. Langhammer	Estée Lauder
Fred H. Langhammer	Gillette
Fred L. Turner	Baxter International
Fred L. Turner	McDonalds
Fred L. Turner	W.W. Grainger
Frederic M. Poses	American Standard
Frederic M. Poses	Centex
Frederic M. Poses	Raytheon
Frederic Salerno	Avnet
Frederic Salerno	Bear Stearns
Frederic Salerno	Consolidated Edison
Frederic Salerno	Viacom
Frederic V. Malek	Automatic Data Proc.
Frederic V. Malek	Fannie Mae
Frederic V. Malek	FPL Group
Frederic V. Malek	Northwest Airlines
Frederick P. Stratton, Jr.	Bank One Corp.
Frederick P. Stratton, Jr.	Wisconsin Energy
Frederick W. Gluck	Amgen
Frederick W. Gluck	HCA
G. Craig Sullivan	Clorox
G. Craig Sullivan	Levi Strauss
G. Craig Sullivan	Mattel
G. Fred DiBona, Jr.	Crown Holdings
G. Fred DiBona, Jr.	Exelon
G. Gilmer Minor, III	Owens & Minor
G. Gilmer Minor, III	SunTrust Banks
G. Jackson Ratcliffe	Praxair
G. Jackson Ratcliffe	Sunoco
G. Kenneth Baum	H&R Block
G. Kenneth Baum	Interstate Bakeries
Gail D. Fosler	Baxter International
Gail D. Fosler	Caterpillar
Gail D. Fosler	Unisys
Gail Deegan	EMC
Gail Deegan	TJX
Gail J. McGovern	DTE Energy
Gail J. McGovern	Hartford Fin. Services
Gail R. Wilensky, Ph.D.	Quest Diagnostics
Gail R. Wilensky, Ph.D.	UnitedHealth Group
Gary C. Butler	Automatic Data Proc.
Gary C. Butler	Liberty Mutual Insurance Group
Gary D. Forsee	Goodyear Tire & Rubber
Gary D. Forsee	Sprint
Gary G. Benanav	Express Scripts
Gary G. Benanav	New York Life Insurance
Gary G. Michael	Boise Cascade
Gary G. Michael	Clorox
Gary G. Michael	Harrahs Entertainment
Gary L. Countryman	FleetBoston Financial
Gary L. Countryman	Liberty Mutual Insurance Group
Gary L. Countryman	Neiman Marcus
Gary L. Roubos	Dover
Gary L. Roubos	Omnicom Group
Gary L. Tooker	Avnet
Gary L. Tooker	Eaton
Gary Wilson	Northwest Airlines
Gary Wilson	Walt Disney
Gen. John T. Chain, Jr.	ConAgra Foods
Gen. John T. Chain, Jr.	Northrop Grumman
George A. Davidson, Jr.	Dominion Resources
George A. Davidson, Jr.	Goodrich
George A. Davidson, Jr.	PNC Financial Svcs. Group
George A. Lorch	Autoliv
George A. Lorch	Household International
George A. Lorch	Pfizer
George A. Lorch	Williams Companies, Inc.
George A. Schaefer, Jr.	Anthem
George A. Schaefer, Jr.	Ashland
George A. Schaefer, Jr.	Fifth Third Bancorp
George D. Johnson, Jr.	Duke Energy
George D. Johnson, Jr.	Norfolk Southern
George David	Citigroup
George David	United Technologies
George H. Conrades	Cardinal Health
George H. Conrades	Harley-Davidson
George J. Mitchell	FedEx
George J. Mitchell	Staples
George J. Mitchell	Starwood Hotels & Restaurants
George J. Mitchell	Walt Disney
George L. Miles, Jr.	Harley-Davidson
George L. Miles, Jr.	Wesco International
George M.C. Fisher	Delta Air Lines
George M.C. Fisher	Eli Lilly
George M.C. Fisher	General Motors
George R. Roberts	Owens-Illinois
George R. Roberts	Safeway
Gerald Greenwald	Aetna
Gerald Greenwald	Calpine
Gerald Grinstein	Delta Air Lines
Gerald Grinstein	Paccar
Gerald Grinstein	Pittston
Gerald L. Shaheen	Aquila
Gerald L. Shaheen	National City Corp.
Gilbert S. Omenn	Amgen
Gilbert S. Omenn	Rohm & Haas
Glen H. Hiner	Dana
Glen H. Hiner	Prudential Financial
Glenda A. Hatchett	Gap
Glenda A. Hatchett	HCA
Glenn F. Tilton	Lincoln National
Glenn F. Tilton	UAL
Gordon Gund	Corning
Gordon Gund	Kellogg
Gordon M. Bethune	Continental Airlines
Gordon M. Bethune	Honeywell Intl.
Gordon M. Sprenger	Medtronic
Gordon M. Sprenger	St. Paul Travelers
Gordon R. Lohman	Ameren
Gordon R. Lohman	Fortune Brands
Gordon R. Parker	Caterpillar
Gordon R. Parker	Phelps Dodge
Gregory Brenneman	Automatic Data Proc.
Gregory Brenneman	Home Depot
Gregory P. Josefowicz	Borders Group
Gregory P. Josefowicz	Spartan Stores
Gwendolyn S. King	Countrywide Financial
Gwendolyn S. King	Lockheed Martin
Gwendolyn S. King	Marsh & McLennan
H. Jesse Arnelle	Armstrong Holdings
H. Jesse Arnelle	Eastman Chemical
H. Jesse Arnelle	FPL Group
H. Jesse Arnelle	Gannett
H. Jesse Arnelle	Textron
H. John Riley, Jr.	Allstate
H. John Riley, Jr.	Baker Hughes
H. Laurance Fuller	Abbott Laboratories
H. Laurance Fuller	J.P. Morgan Chase
H. Laurance Fuller	Motorola
H. Patrick Swygert	Fannie Mae
H. Patrick Swygert	Hartford Fin. Services
H. Patrick Swygert	United Technologies
Hall Adams, Jr.	McDonalds
Hall Adams, Jr.	Sears Roebuck
Hans W. Becherer	Honeywell Intl.
Hans W. Becherer	J.P. Morgan Chase
Hans W. Becherer	Schering-Plough
Hansel E. Tookes II	Corning
Hansel E. Tookes II	Ryder System
Harold A. Wagner	Cigna
Harold A. Wagner	Paccar
Harold A. Wagner	United Technologies
Harold B. Smith	Illinois Tool Works
Harold B. Smith	Northwestern Mutual
Harold B. Smith	W.W. Grainger
Harold McGraw, III	McGraw-Hill
Harold McGraw, III	United Technologies
Harold T. Shapiro	Dow Chemical
Harold T. Shapiro	HCA
Harry C. Stonecipher	Boeing
Harry C. Stonecipher	Paccar
Harry M. Jansen Kraemer Jr.	Baxter International
Harry M. Jansen Kraemer Jr.	Science Applications Intl.
Harry P. Kamen	MetLife
Harry P. Kamen	Pfizer
Hector R. Ortino	New York Life Insurance
Hector R. Ortino	Parker Hannifin
Heidi G. Miller	General Mills
Heidi G. Miller	Merck
Helene L. Kaplan	Exxon Mobil
Helene L. Kaplan	J.P. Morgan Chase
Helene L. Kaplan	May Dept. Stores
Helene L. Kaplan	MetLife
Henry A. McKinnell, Jr.	Exxon Mobil
Henry A. McKinnell, Jr.	Pfizer
Henry B. Schacht	Alcoa
Henry B. Schacht	Johnson & Johnson
Henry B. Schacht	Lucent Technologies
Henry B. Schacht	New York Times
Henry Kaufman	Freddie Mac
Henry Kaufman	Lehman Brothers Hldgs.
Henry L. Meyer III	Continental Airlines
Henry L. Meyer III	KeyCorp
Herbert M. Baum	Fleming
Herbert M. Baum	PepsiAmericas
Howard G. Buffett	Berkshire Hathaway
Howard G. Buffett	Coca-Cola Enterprises
Howard G. Buffett	ConAgra Foods
Howard P. Behar	Gap
Howard P. Behar	Starbucks
Hugh B. Price	MetLife
Hugh B. Price	Sears Roebuck
Hugh B. Price	Verizon Communications
Indra K. Nooyi	Motorola
Indra K. Nooyi	PepsiCo
